Sector,Province,BE_Year,LPG,Low Speed Diesel (LSD),High Speed Diesel (HSD)/Biodiesel,Fuel oil,Gasoline 91,Gasoline 95,Gasohol 91,Gasohol 95,Natural gas
Commercial,Mukdahan,2563,"2,122,417",0,0,0,0,0,0,0,0
Commercial,Chiang Mai,2563,"50,482,607",0,0,"804,898",0,0,0,0,0
Commercial,Lamphun,2563,"9,008,150",0,0,0,0,0,0,0,0
Commercial,Lampang,2563,"20,880,248",0,0,0,0,0,0,0,0
Commercial,Udtradit,2563,"7,385,772",0,0,0,0,0,0,0,0
Commercial,Phare,2563,"7,800,928",0,0,0,0,0,0,0,0
Commercial,Nan,2563,"7,366,085",0,0,0,0,0,0,0,0
Commercial,Phayao,2563,"7,368,928",0,0,0,0,0,0,0,0
Commercial,Chiang Rai,2563,"24,437,701",0,0,0,0,0,0,0,0
Commercial,Mae Hong Son,2563,"946,715",0,0,0,0,0,0,0,0
Commercial,Nakhon Sawan,2563,"18,662,189",0,0,0,0,0,0,0,0
Commercial,Uthai Thani,2563,"2,136,543",0,0,0,0,0,0,0,0
Commercial,Kamphaeng Phet,2563,"7,611,783",0,0,0,0,0,0,0,0
Commercial,Tak,2563,"11,049,418",0,0,0,0,0,0,0,0
Commercial,Sukhothai,2563,"11,246,623",0,0,0,0,0,0,0,0
Commercial,Phitsanulok,2563,"11,983,037",0,0,0,0,0,0,0,0
Commercial,Phichit,2563,"10,223,578",0,0,0,0,0,0,0,0
Commercial,Phetchabun,2563,"11,631,411",0,0,0,0,0,0,0,0
Commercial,Ratchaburi,2563,"22,701,547",0,0,"805,701",0,0,0,0,0
Commercial,Kanchanaburi,2563,"24,958,827",0,0,0,0,0,0,0,0
Commercial,Suphanburi,2563,"26,151,793",0,0,0,0,0,0,0,0
Commercial,Nakhon Pathom,2563,"57,341,095",0,0,0,0,0,0,0,0
Commercial,Samut Sakhon,2563,"111,451,633",0,0,"4,365,000",0,0,0,0,0
Commercial,Samut Songkhram,2563,"10,696,019",0,0,0,0,0,0,0,0
Commercial,Phetchaburi,2563,"16,119,250",0,0,0,0,0,0,0,0
Commercial,Prachuap Khiri Khan,2563,"18,996,520",0,0,0,0,0,0,0,0
Commercial,Nakhon Si Thammarat,2563,"30,994,413",0,0,"93,803",0,0,0,0,0
Commercial,Krabi,2563,"16,554,065",0,0,0,0,0,0,0,0
Commercial,Phangnga,2563,"16,783,852",0,0,0,0,0,0,0,0
Commercial,Phuket,2563,"12,125,290",0,0,"47,922",0,0,0,0,0
Commercial,Surat Thani,2563,"42,906,903",0,0,0,0,0,0,0,0
Commercial,Ranong,2563,"4,208,896",0,0,0,0,0,0,0,0
Commercial,Chumphon,2563,"13,806,523",0,0,0,0,0,0,0,0
Commercial,Songkhla,2563,"41,629,735",0,0,"783,719",0,0,0,0,0
Commercial,Satun,2563,"6,077,711",0,0,0,0,0,0,0,0
Commercial,Trang,2563,"18,098,659",0,0,0,0,0,0,0,0
Commercial,Phatthalung,2563,"13,053,148",0,0,0,0,0,0,0,0
Commercial,Pattani,2563,"5,561,743",0,0,0,0,0,0,0,0
Commercial,Yala,2563,"22,610,622",0,0,0,0,0,0,0,0
Commercial,Narathiwat,2563,"11,023,284",0,0,0,0,0,0,0,0
